Name,Category,Color,City,Lat,Lon
Drogueria Kalu,General Hospital (Level 2),#e67e22,Colombia,4.3121531,-72.0798689
Centro de Salud,Primary Care (Level 1),#2ecc71,Colombia,4.3120996,-72.0807245
El Lago,Primary Care (Level 1),#2ecc71,Pereira,4.8155101,-75.6984412
centro atenci,General Hospital (Level 2),#e67e22,Colombia,3.3697682,-73.8715033
Clinica de la policia,Primary Care (Level 1),#2ecc71,Colombia,5.0580674,-75.4796474
Ese Primer Nivel Granada Salud,General Hospital (Level 2),#e67e22,CARRERA 5A NO.14A-17,3.5438779,-73.6992154
CARRERA 12 No 13A-08,General Hospital (Level 2),#e67e22,Colombia,3.5408461,-73.7047665
Optica Dr. Mejia del Ariari,General Hospital (Level 2),#e67e22,CARRERA 13 No 19-46,3.5456408,-73.7090898
Cruz Roja Colombiana Seccional Meta.,Emergency/First Response,#f1c40f,Carrera 16 No 14-26,3.5399882,-73.7094236
Ips Granada,Primary Care (Level 1),#2ecc71,CL 14 No 14-13,3.5396298,-73.7066351
SALVADOR SALUD E.U SEDE SALUDCOOP GRANADA No. 2,General Hospital (Level 2),#e67e22,KR 16 No.15-49,3.5404105,-73.7084707
Salvador Salud Sede Granada,General Hospital (Level 2),#e67e22,CALLE 14A No. 3-80,3.5459615,-73.698951
Ortosonrisa Granada,General Hospital (Level 2),#e67e22,Cra 13 N 16 99,3.5428665,-73.7076249
Centro de Rehabilitación Integral de Terapias Eu Crit Eu,General Hospital (Level 2),#e67e22,CALLE 22 No 14- 88 DELICIAS,3.5466409,-73.7128034
Luz Soraya Angel Angel Eu,General Hospital (Level 2),#e67e22,CALLE 15 No 15 -71,3.5396834,-73.7086134
NODILAB IPS GRANADA/ CENTRAL DE ESPECIALISTAS GRANADA,Primary Care (Level 1),#2ecc71,CRA 16 No. 13-30-32,3.5379291,-73.708166
NODILAB IPS GRANADA SEDE 3/ CLINICA GRANADA,Primary Care (Level 1),#2ecc71,CRA. 16 No. 15-49,3.5397388,-73.7095178
Rehabilitar I.p.s. Granada,General Hospital (Level 2),#e67e22,Calle 10 No. 14-84,3.5358999,-73.7045611
Centro de Especialistas Granada,General Hospital (Level 2),#e67e22,CALLE 15 N° 10-98,3.5404374,-73.7042883
IPS METSALUD S.A.S GRANADA / ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE GRANADA,Primary Care (Level 1),#2ecc71,CRA 14 No 14-31,3.5401195,-73.7068894
COMPAÑIA VITAL DE COLOMBIA S.A.S,General Hospital (Level 2),#e67e22,CRA 16 No 15-26 CENTRO,3.5398193,-73.7093003
Vital Ips Granada,Primary Care (Level 1),#2ecc71,CRR 16 No 15-26 CENTRO,3.5396815,-73.7091729
Optica Vision Siglo Xxi E.u.,General Hospital (Level 2),#e67e22,CARRERA 13 No. 16-67,3.5427108,-73.7075038
Ips Eden Salud S.a.s,Primary Care (Level 1),#2ecc71,CALLE 17 No. 12-68 OFICINA 102,3.5436831,-73.7073407
SER CONDUCTOR Granada,General Hospital (Level 2),#e67e22,Calle 15 N° 14 - 63,3.5402432,-73.7077245
Prointegra Granada,General Hospital (Level 2),#e67e22,CALLE 13 No. 13-30,3.5392812,-73.7054203
Puesto de salud,Primary Care (Level 1),#2ecc71,Colombia,3.8093875,-73.5473704
Centro de Salud de Primer Nivel,Primary Care (Level 1),#2ecc71,Colombia,3.2687864,-73.3757558
La clínica CDC,Primary Care (Level 1),#2ecc71,Colombia,3.4259682,-76.5442236
Hospital ortopédico,General Hospital (Level 2),#e67e22,Colombia,3.4196805,-76.5436923
Clínica cristo rey Central de ortopedistas,Primary Care (Level 1),#2ecc71,Colombia,3.4617958,-76.5267605
Hospital mama dominga,General Hospital (Level 2),#e67e22,Colombia,2.6412775,-76.5276877
HOSPITAL,General Hospital (Level 2),#e67e22,Colombia,3.796352,-73.8363069
centro de salud Covarachia,Primary Care (Level 1),#2ecc71,Colombia,6.4997876,-72.7387079
Hospital Municipal,General Hospital (Level 2),#e67e22,Colombia,3.3855849,-74.0430218
Hospital Municipal,General Hospital (Level 2),#e67e22,Colombia,3.7115659,-73.2418184
hospital,General Hospital (Level 2),#e67e22,Colombia,3.9341389,-75.2180757
Hospital Federico Arbelaez,General Hospital (Level 2),#e67e22,Colombia,4.0670161,-74.686509
Hospital Educardo Santos Nivel II,General Hospital (Level 2),#e67e22,La Unión,1.6044675,-77.1308326
Centro de Salud Luiis Acosta E.S.E,Primary Care (Level 1),#2ecc71,Colombia,1.5998142,-77.1273896
Hospital Luis A coral E.S.E,General Hospital (Level 2),#e67e22,Colombia,1.5075161,-77.0508212
Urgencias delNorte SAS,Emergency/First Response,#f1c40f,Colombia,6.3330822,-75.556573
Dr. Diego Cardona,Primary Care (Level 1),#2ecc71,Colombia,5.4554063,-75.6501393
Cemtro de Salud de Los Andes,Primary Care (Level 1),#2ecc71,Colombia,1.4967712,-77.5205972
Cardioprevent sas,Specialized,#3498db,Colombia,3.4205176,-76.5471894
Centro de Salud Chapa,Primary Care (Level 1),#2ecc71,Colombia,2.1933921,-76.6323828
Medical Center,General Hospital (Level 2),#e67e22,Colombia,6.5308633,-72.7746157
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,5.6113828,-75.5412858
Clínica morásurco,Primary Care (Level 1),#2ecc71,Colombia,1.2325248,-77.2835675
Hospital,General Hospital (Level 2),#e67e22,Colombia,2.7775142,-76.3248367
Centro médico La Quinta,Primary Care (Level 1),#2ecc71,Colombia,4.4365176,-75.2134681
San Francisco,Primary Care (Level 1),#2ecc71,Colombia,2.7314428,-76.7085398
Mesalud,Primary Care (Level 1),#2ecc71,Colombia,4.6244341,-74.4695821
Salud en casa EPS Sura,Primary Care (Level 1),#2ecc71,Colombia,6.2521768,-75.5982253
Hospital Piamonte,General Hospital (Level 2),#e67e22,Colombia,1.1170728,-76.3284837
Hospital Isnos,General Hospital (Level 2),#e67e22,Colombia,1.9241132,-76.2166132
Centenario,Primary Care (Level 1),#2ecc71,Colombia,3.0062353,-76.4809789
Salud,Primary Care (Level 1),#2ecc71,Colombia,2.5864932,-76.7857331
