Name,Category,Color,City,Lat,Lon
Unidad de Atencion San Sebastian,General Hospital (Level 2),#e67e22,SAN SEBASTIÁN,1.8389733,-76.7668225
Unidad de atencion Almaguer,General Hospital (Level 2),#e67e22,Almaguer,1.9134809,-76.85655
Clinica Risaralda,Primary Care (Level 1),#2ecc71,Pereira,4.8161142,-75.6939909
HOSPITAL,General Hospital (Level 2),#e67e22,Colombia,1.5954289,-77.0124261
tomas uribe,General Hospital (Level 2),#e67e22,Colombia,4.0822238,-76.1880748
E.S.E Hospital La María,General Hospital (Level 2),#e67e22,Colombia,6.2379517,-75.5714719
Centro de Especialistas,General Hospital (Level 2),#e67e22,Colombia,4.5450638,-75.6628805
Colsanitas,Primary Care (Level 1),#2ecc71,Colombia,4.5530656,-75.6577339
Clínica Oftalmológica de Medellín,Specialized,#3498db,Medellín,6.2060078,-75.5600676
Neurovida,Specialized,#3498db,Colombia,6.2448489,-75.5940696
Óptica Visión Integrados,Primary Care (Level 1),#2ecc71,Colombia,6.2390913,-75.5877455
AMI Salud IPS,Primary Care (Level 1),#2ecc71,Anserma,5.2288753,-75.7879295
Mycar IPS,Primary Care (Level 1),#2ecc71,Anserma,5.2289289,-75.7879159
Sanidad Aeroportuaria,Primary Care (Level 1),#2ecc71,Colombia,6.1723821,-75.4284318
Junta Defensa Civil Belen de lños Andaquies,General Hospital (Level 2),#e67e22,Colombia,1.4157007,-75.871051
