Name,Type,Complexity,City,Latitude,Longitude
Hospital Materno Infantil Los Andes,hospital,High,San Cristóbal,7.7722587,-72.2184958
Club de Leones,clinic,Low,Colombia,7.7517904,-72.2262308
CDI Módulo Unidad Vecinal,hospital,Medium,Colombia,7.7481528,-72.2215643
Cruz Roja,hospital,Medium,Colombia,7.7785884,-72.2185357
Clínica CEMOC,clinic,Low,Colombia,7.78236,-72.2257814
Clínica IBIDSA,clinic,Low,Colombia,7.7672583,-72.2152074
Clínica Rotary,clinic,Low,Colombia,7.7643274,-72.213262
Policlínica Táchira,clinic,Low,Colombia,7.758603,-72.2144908
Clínica Andina,clinic,Low,San Cristóbal,7.7544474,-72.2270924
Centro Médico Quirurgico Dr. Semidey,clinic,Low,Colombia,7.7639708,-72.2343077
Centro de Emergencia Infantil Coromoto,clinic,Low,San Cristóbal,7.7673312,-72.2162261
Profamilia,clinic,Low,cucuta norte santander,7.8842652,-72.5003593
sociedad medica los samanes s.a.s,clinic,Low,cucuta,7.8964585,-72.4886796
INSTITUTO LA ESPERANZA Q,hospital,Medium,CUCUTA,7.899268,-72.4927187
Saludcoop,hospital,High,CUCUTA,7.8905772,-72.4969863
Medical Center,hospital,Medium,Colombia,7.893751,-72.4912842
CENTRO DE CARDIOLOGIA,clinic,Low,CUCUTA,7.8902283,-72.4890344
INSTITUTO DE VÍAS DIGESTIVAS IPS,clinic,Low,CUCUTA,7.8902116,-72.4910929
CONSULTORIO ESPECIALIZADO PARA EL DESARROLLO INTEGRAL,clinic,Low,CUCUTA,7.8927244,-72.4966599
CENTRO DE REHABILITACIÓN CARDIONEUROMUSCULAR,clinic,Low,CUCUTA,7.9051995,-72.4898571
AVANZAR MEDICO,clinic,Low,CUCUTA,7.8893503,-72.4900426
Centro de Especialistas Santa Ana,hospital,Medium,Colombia,7.8915672,-72.488923
clinica tu salud oral,clinic,Low,cucuta norte santander,7.8837076,-72.5045841
Oncológico,hospital,Medium,Colombia,7.7573813,-72.2244666
CLINICA GUANE,hospital,Medium,Colombia,7.0634371,-73.0872699
Nueva Sede E.P.S. Sanitas,hospital,Medium,Colombia,7.8897252,-72.4965418
unidad de diagnostico audiologico,clinic,Low,CUCUTA,7.879631,-72.4969595
digital estetic,clinic,Low,CUCUTA,7.8802972,-72.4970384
aliados en salud coomeva eps,clinic,Low,CUCUTA,7.8809555,-72.4983602
Medical Center,clinic,Low,CUCUTA,7.881348,-72.4971891
Medical Center,clinic,Low,CUCUTA,7.8814283,-72.4972236
Medical Center,clinic,Low,CUCUTA,7.8856656,-72.4977882
Colmedica,clinic,Low,CUCUTA,7.8864793,-72.4977622
Multiterapias,clinic,Low,CUCUTA,7.8892889,-72.4977456
Coomeva eps,clinic,Low,CUCUTA,7.8893228,-72.4974818
VETERINARIA QUINTA VELEZ,hospital,Medium,Colombia,7.8861985,-72.4974447
IDIME instituto de diagnostico medico,hospital,Medium,Colombia,7.8859114,-72.4973014
la samaritana,clinic,Low,Colombia,7.835199,-72.5090223
cafesalud,hospital,Medium,Colombia,7.892804,-72.4995378
Gastroquirurgica s.a.s,clinic,Low,Colombia,7.892603,-72.4894719
Laboratorio clinico biodx,clinic,Low,Colombia,7.8924846,-72.4894575
Clínica oncologica Dr. Gabriel Rodriguez,clinic,Low,Colombia,7.8794839,-72.499465
Policlinico Juan Atalaya,clinic,Low,Colombia,7.9087781,-72.528499
Importadora medica Los Andes,hospital,Medium,Colombia,7.8901277,-72.4966434
clinica spa,clinic,Low,Colombia,7.8924422,-72.4915545
ANALAC DE HEMOTERAPIA,clinic,Low,Colombia,7.8906991,-72.4927303
HERMATOLOGICA ESPECIALIZADA,clinic,Low,Colombia,7.8902478,-72.4925946
