ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3024,0,Peru,0,-74.4608,-11.4745,124921.44,2007-01-21,2007-02-10,News,38,5000,Heavy rain,1.0
3062,0,Colombia,0,-75.2114,4.50308,1940.49,2007-04-26,2007-05-02,News,17,2000,Heavy rain,1.0
3080,FL-2007-000068-COL,Colombia,0,-75.4261,7.37836,29773.22,2007-05-19,2007-06-27,News,14,3000,Heavy rain,1.0
3121,0,Colombia,0,-75.5933,8.3753,69988.11,2007-06-27,2007-09-10,News,43,700000,Heavy rain,1.0
3212,0,Colombia,0,-74.9063,7.89355,297814.6,2007-10-01,2007-12-10,News,90,266000,Heavy rain,1.0
3263,FL-2008-000018-ECU,Ecuador,0,-79.6578,-1.24729,75830.05,2008-01-30,2008-05-01,News,51,265000,Heavy rain,2.0
3267,FL-2008-000031-PER,Peru,0,-73.0124,-10.1112,709143.74,2008-02-04,2008-05-07,News,26,45000,Heavy rain,1.0
3283,0,Colombia,0,-75.4189,2.67812,3994.26,2008-03-11,2008-03-15,News,5,0,Heavy rain,1.0
3308,FL-2008-000069-CHL,Chile,0,-71.9498,-35.8586,110526.17,2008-05-19,2008-05-27,News,4,32000,Heavy rain,1.0
3335,TC-2008-000112-LBR,Chile,0,-71.9359,-39.1167,161604.85,2008-07-20,2008-07-20,News,0,0,Heavy Rain,1.5
3421,0,Colombia,0,-74.2318,8.99892,195388.17,2008-12-13,2008-12-14,News,2,0,Brief Torrential Rain,1.0
3452,FL-2009-000052-COL,Colombia,0,-76.5144,4.36564,72654.16,2009-02-12,2009-02-16,News,0,3000,Heavy Rain,1.5
3453,0,Peru,0,-74.4359,-13.5756,85604.33,2009-02-15,2009-02-17,News,6,10000,Heavy Rain,1.0
3583,FL-2009-000261-PER,Peru,0,-75.0108,-11.826,172579.0,2009-12-20,2009-12-21,0,0,0,Heavy Rain,1.0
3597,0,Peru,0,-72.9391,-12.9894,135281.63,2010-01-25,2010-01-30,0,20,0,Torrential Rain,2.0
3609,FL-2010-000023-ECU,Peru,,-78.2867,-4.68221,305772.0,2010-02-10,2010-02-17,0,0,80000,Torrential Rain,1.0
3619,0,Peru,0,-73.3575,-11.8464,57889.66,2010-03-02,2010-03-04,0,7,20,Heavy Rain,1.0
3781,,Peru,,-71.7581,-14.5325,135202.5,2011-02-10,2011-02-26,News,0,300,Torrential Rain,1.0
3910,,Ecuador,,-79.4951,-0.5987,39793.06,2012-03-01,2012-03-26,News,10,4700,Heavy Rain,1.5
3911,,Chile,,-69.408,-52.8256,88870.6,2012-03-01,2012-03-15,News,0,1000,Heavy Rain,1.5
4017,,Peru,,-76.4573,-9.28298,318648.95,2013-01-04,2013-01-10,News,0,2000,Torrential Rain,1.5
4027,,Peru,Bolivia,-69.094,-20.3461,577782.56,2013-02-08,2013-02-12,News,31,2400,Heavy Rain,2.0
4041,,Peru,Bolivia,-70.9926,-16.5124,740437.68,2013-03-10,2013-03-17,News,0,3000,Heavy Rain,1.5
4097,,Peru,,-76.1873,-8.5735,253520.53,2013-10-11,2013-10-14,News,0,1100,Heavy Rain,1.5
4116,,Peru,,-71.5232,-12.4186,74144.66,2014-01-01,2014-01-04,News,0,300,Heavy Rain,1.0
4214,FL-2014-000163-COL,Colombia,,-75.544,4.59198,406009.51,2014-11-01,2014-12-20,News,44,0,Heavy Rain,1.5
4238,FL-2015-000027-CHL,Chile,,-68.888,-22.3617,154773.16,2015-03-25,2015-04-08,News,27,2514,Heavy Rain,2.0
4255,,Chile,,-72.9212,-44.1033,224189.77,2015-05-17,2015-05-21,News,0,100,Heavy Rain,1.5
4326,,Ecuador,Colombia,-79.7009,-0.786333,69541.98,2016-01-19,2016-01-29,News,7,2300,Torrential Rain,1.5
4420,,Colombia,,-76.4842,2.80694,22578.75,2016-12-01,2016-12-07,News,0,6,Torrential Rain,1.0
4441,,Peru,,-77.573,-5.25083,288499.13,2017-02-01,2017-02-07,News,1,12000,Heavy Rain,1.0
4442,,Colombia,,-76.2863,1.6911,117321.46,2017-01-05,2017-02-07,News,0,280,Heavy Rain,1.0
4445,,Chile,,-70.2489,-30.9395,183781.03,2017-02-24,2017-03-03,News,3,1200,Heavy Rain,2.0
4448,,Colombia,,-72.6737,3.72258,128596.78,2017-02-23,2017-03-03,News,1,2000,Heavy Rain,1.0
4450,FL-2017-000018-PER,Peru,,-75.1481,-11.0042,810942.34,2017-02-01,2017-03-22,News,78,70000,Heavy Rain,2.0
